Tempo(s)	Deformação(mm)	Força(N)
0.016667 	0.00000 	12.837 
0.050000 	0.00065141 	12.837 
0.066667 	0.0014889 	12.837 
0.083333 	0.0024195 	12.837 
0.10000 	0.0035362 	12.837 
0.11667 	0.0046529 	12.837 
0.13333 	0.0059557 	13.513 
0.15000 	0.0073516 	12.837 
0.16667 	0.0087475 	12.837 
0.18333 	0.010236 	12.837 
0.20000 	0.011725 	12.837 
0.21667 	0.013307 	12.837 
0.23333 	0.014796 	12.837 
0.25000 	0.016378 	12.837 
0.26667 	0.018053 	12.837 
0.28333 	0.019635 	12.837 
0.30000 	0.021217 	12.837 
0.31667 	0.022892 	12.837 
0.33333 	0.024567 	12.837 
0.35000 	0.026149 	12.837 
0.36667 	0.027824 	12.837 
0.38333 	0.029499 	12.837 
0.40000 	0.031081 	12.837 
0.41667 	0.032756 	12.837 
0.43333 	0.034431 	12.837 
0.45000 	0.036107 	12.837 
0.46667 	0.037782 	12.837 
0.48333 	0.039457 	12.837 
0.50000 	0.041039 	12.837 
0.51667 	0.042714 	12.837 
0.53333 	0.044482 	12.837 
0.55000 	0.046064 	12.837 
0.56667 	0.047739 	12.837 
0.58333 	0.049414 	12.837 
0.60000 	0.051089 	12.837 
0.61667 	0.052764 	12.837 
0.63333 	0.054439 	12.837 
0.65000 	0.056114 	12.837 
0.66667 	0.057696 	12.837 
0.68333 	0.059371 	12.837 
0.70000 	0.061046 	12.837 
0.71667 	0.062721 	12.837 
0.73333 	0.064396 	12.837 
0.75000 	0.066071 	13.513 
0.76667 	0.067746 	12.837 
0.78333 	0.069421 	12.837 
0.80000 	0.071096 	12.837 
0.81667 	0.072678 	13.513 
0.83333 	0.074353 	12.837 
0.85000 	0.076121 	12.837 
0.86667 	0.077703 	13.513 
0.88333 	0.079378 	13.513 
0.90000 	0.081054 	13.513 
0.91667 	0.082729 	13.513 
0.93333 	0.084404 	13.513 
0.95000 	0.086079 	13.513 
0.96667 	0.087754 	13.513 
0.98333 	0.089429 	14.188 
1.0000 	0.091104 	13.513 
1.0167 	0.092779 	13.513 
1.0333 	0.094361 	14.188 
1.0500 	0.096129 	13.513 
1.0667 	0.097711 	13.513 
1.0833 	0.099386 	14.188 
1.1000 	0.10106 	14.188 
1.1167 	0.10274 	14.188 
1.1333 	0.10441 	14.188 
1.1500 	0.10609 	14.188 
1.1667 	0.10776 	14.188 
1.1833 	0.10944 	14.188 
1.2000 	0.11111 	14.188 
1.2167 	0.11269 	14.864 
1.2333 	0.11437 	14.864 
1.2500 	0.11604 	14.864 
1.2667 	0.11772 	14.864 
1.2833 	0.11939 	14.864 
1.3000 	0.12107 	14.864 
1.3167 	0.12274 	15.539 
1.3333 	0.12442 	14.864 
1.3500 	0.12609 	15.539 
1.3667 	0.12777 	15.539 
1.3833 	0.12944 	15.539 
1.4000 	0.13112 	15.539 
1.4167 	0.13279 	16.215 
1.4333 	0.13438 	15.539 
1.4500 	0.13605 	16.215 
1.4667 	0.13782 	16.215 
1.4833 	0.13940 	16.215 
1.5000 	0.14108 	16.215 
1.5167 	0.14275 	16.215 
1.5333 	0.14443 	16.215 
1.5500 	0.14610 	16.891 
